"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","MKN-10_U2",5121,"A63","Jiné, převážně pohlavním stykem přenášené nemoci NJ","Jiné, převážně pohlavním stykem přenášené nemoci NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A64","Pohlavním stykem přenášené nemoci NS","Pohlavním stykem přenášené nemoci NS","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A65","Nevenerická syfilis","Nevenerická syfilis","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A66","Frambézie","Frambézie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A67","Pinta","Pinta","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A68","Návratná horečka [febris recurrens]","Návratná horečka [febris recurrens]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A69","Jiné spirochetové infekce","Jiné spirochetové infekce","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A70","Infekce původce: Chlamydia psittaci","Infekce původce: Chlamydia psittaci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A71","Trachom","Trachom","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A74","Jiné nemoci způsobené chlamydiemi","Jiné nemoci způsobené chlamydiemi","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A75","Skvrnitý tyfus","Skvrnitý tyfus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A77","Purpurová horečka (rickettsióza přenášená klíštětem)","Purpurová horečka (rickettsióza přenášená klíštětem)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A78","Q horečka","Q horečka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A79","Jiné rickettsiózy","Jiné rickettsiózy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A80","Akutní poliomyelitida – akutní dětská obrna","Akutní poliomyelitida – akutní dětská obrna","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A81","Atypické virové infekce centrální nervové soustavy","Atypické virové infekce centrální nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A82","Vzteklina – rabies – lyssa","Vzteklina – rabies – lyssa","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A83","Virová encefalitida přenášená komáry","Virová encefalitida přenášená komáry","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A84","Virová encefalitida přenášená klíšťaty","Virová encefalitida přenášená klíšťaty","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A85","Jiná virová encefalitida NJ","Jiná virová encefalitida NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A86","Neurčená virová encefalitida","Neurčená virová encefalitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A87","Virová meningitida","Virová meningitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A88","Jiné virové infekce CNS NJ","Jiné virové infekce CNS NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A89","Neurčená virová infekce centrální nervové soustavy","Neurčená virová infekce centrální nervové soustavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A92","Jiná virová horečka přenášená komáry","Jiná virová horečka přenášená komáry","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A93","Jiné virové horečky přenášené členovci NJ","Jiné virové horečky přenášené členovci NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A94","Neurčená virová horečka přenášená členovci","Neurčená virová horečka přenášená členovci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A95","Žlutá zimnice","Žlutá zimnice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A96","Hemoragická horečka, původce: Arenavirus","Hemoragická horečka, původce: Arenavirus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A97","Dengue","Dengue","2018-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A98","Jiná virová hemoragická horečka NJ","Jiná virová hemoragická horečka NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"A99","Neurčená virová hemoragická horečka","Neurčená virová hemoragická horečka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B00","Infekce virem Herpes simplex","Infekce virem Herpes simplex","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B01","Plané neštovice [varicella]","Plané neštovice [varicella]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B02","Pásový opar [herpes zoster]","Pásový opar [herpes zoster]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B03","Pravé neštovice – černé neštovice [variola]","Pravé neštovice – černé neštovice [variola]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B04","Opičí neštovice","Opičí neštovice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B05","Spalničky","Spalničky","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B06","Zarděnky [rubeola]","Zarděnky [rubeola]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B07","Virové bradavice","Virové bradavice","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B08","Jiné virové infekce charakterizované postižením kůže a slizn","Jiné virové infekce charakterizované postižením kůže a sliznic NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B09","Neurčené virové infekce charakterizované postižením kůže a s","Neurčené virové infekce charakterizované postižením kůže a sliznic","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B15","Akutní hepatitida A","Akutní hepatitida A","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B16","Akutní hepatitida B","Akutní hepatitida B","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B17","Jiná akutní virová hepatitida","Jiná akutní virová hepatitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B18","Chronická virová hepatitida","Chronická virová hepatitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B19","Neurčená virová hepatitida","Neurčená virová hepatitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B20","Onemocnění HIV, mající za následek infekční a parazitární ne","Onemocnění HIV, mající za následek infekční a parazitární nemoci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B21","Onemocnění HIV, mající za následek zhoubný novotvar","Onemocnění HIV, mající za následek zhoubný novotvar","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B22","Onemocnění HIV, mající za následek jiná určená onemocnění","Onemocnění HIV, mající za následek jiná určená onemocnění","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B23","Onemocnění HIV, mající za následek jiné stavy","Onemocnění HIV, mající za následek jiné stavy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B24","Neurčené onemocnění virem lidské imunodeficience [HIV]","Neurčené onemocnění virem lidské imunodeficience [HIV]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B25","Cytomegalovirová nemoc","Cytomegalovirová nemoc","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B26","Příušnice [parotitis epidemica]","Příušnice [parotitis epidemica]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B27","Infekční mononukleóza","Infekční mononukleóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B30","Virová konjunktivitida","Virová konjunktivitida","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B33","Jiná virová onemocnění, NJ","Jiná virová onemocnění, NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B34","Virová onemocnění neurčené lokalizace","Virová onemocnění neurčené lokalizace","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B35","Dermatofytóza","Dermatofytóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B36","Jiné povrchové mykózy","Jiné povrchové mykózy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B37","Kandidóza [candidosis]","Kandidóza [candidosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B38","Kokcidioidomykóza [coccidioidomycosis]","Kokcidioidomykóza [coccidioidomycosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B39","Histoplazmóza [histoplasmosis], původce: Histoplasma capsula","Histoplazmóza [histoplasmosis], původce: Histoplasma capsulatum","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B40","Blastomykóza [blastomycosis]","Blastomykóza [blastomycosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B41","Parakokcidioidomykóza [paracoccidioidomycosis]","Parakokcidioidomykóza [paracoccidioidomycosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B42","Sporotrichóza [sporotrichosis]","Sporotrichóza [sporotrichosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B43","Chromomykóza [chromomycosis] a feomykotický absces","Chromomykóza [chromomycosis] a feomykotický absces","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B44","Aspergilóza [aspergillosis]","Aspergilóza [aspergillosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B45","Kryptokokóza [cryptococcosis]","Kryptokokóza [cryptococcosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B46","Zygomykóza [zygomycosis]","Zygomykóza [zygomycosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B47","Mycetom","Mycetom","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B48","Jiné mykózy NJ","Jiné mykózy NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B49","Neurčená mykóza","Neurčená mykóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B50","Malárie, původce: Plasmodium falciparum","Malárie, původce: Plasmodium falciparum","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B51","Malárie, původce: Plasmodium vivax","Malárie, původce: Plasmodium vivax","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B52","Malárie, původce: Plasmodium malariae","Malárie, původce: Plasmodium malariae","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B53","Jiná parazitologicky ověřená malárie","Jiná parazitologicky ověřená malárie","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B54","Malárie NS","Malárie NS","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B55","Leishmanióza [leishmaniasis]","Leishmanióza [leishmaniasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B56","Africká trypanozomóza [trypanosomiasis africana]","Africká trypanozomóza [trypanosomiasis africana]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B57","Chagasova nemoc","Chagasova nemoc","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B58","Toxoplazmóza [toxoplasmosis]","Toxoplazmóza [toxoplasmosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B60","Jiné protozoární nemoci NJ","Jiné protozoární nemoci NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B64","Neurčené protozoární nemoci","Neurčené protozoární nemoci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B65","Schistozomóza [schistosomiasis] a bilharzióza [bilharziasis]","Schistozomóza [schistosomiasis] a bilharzióza [bilharziasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B66","Jiné infekce motolicemi (Trematodes)","Jiné infekce motolicemi (Trematodes)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B67","Echinokokóza","Echinokokóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B68","Tenióza [taeniasis] – napadení tasemnicí","Tenióza [taeniasis] – napadení tasemnicí","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B69","Cysticerkóza","Cysticerkóza","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B70","Difylobotrióza [diphyllobothriasis] a sparganóza [sparganosi","Difylobotrióza [diphyllobothriasis] a sparganóza [sparganosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B71","Jiné infekce cestody – tasemnicemi","Jiné infekce cestody – tasemnicemi","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B72","Drakunkulóza [dracunculiasis]","Drakunkulóza [dracunculiasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B73","Onchocerkóza [onchocerciasis]","Onchocerkóza [onchocerciasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B74","Filarióza [filariasis]","Filarióza [filariasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B75","Trichinóza [trichinellosis]","Trichinóza [trichinellosis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B76","Onemocnění měchovci","Onemocnění měchovci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B77","Askarióza [ascariasis]","Askarióza [ascariasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B78","Strongyloidóza [strongyloidiasis]","Strongyloidóza [strongyloidiasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B79","Trichurióza [trichuriasis]","Trichurióza [trichuriasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B80","Enterobióza [enterobiasis]","Enterobióza [enterobiasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B81","Jiná střevní helmintóza NJ","Jiná střevní helmintóza NJ","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B82","Neurčený střevní parazitismus","Neurčený střevní parazitismus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B83","Jiné helmintózy","Jiné helmintózy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B85","Zavšivení – pedikulóza [pediculosis], ftiriáza [phthiriasis]","Zavšivení – pedikulóza [pediculosis], ftiriáza [phthiriasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B86","Svrab [scabies]","Svrab [scabies]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B87","Myiáza [myiasis]","Myiáza [myiasis]","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B88","Napadení jinými ektoparazity","Napadení jinými ektoparazity","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B89","Neurčená parazitární onemocnění","Neurčená parazitární onemocnění","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B90","Následky tuberkulózy","Následky tuberkulózy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B91","Následky poliomyelitidy","Následky poliomyelitidy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B92","Následky lepry","Následky lepry","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B94","Následky jiných a neurčených infekčních a parazitárních nemo","Následky jiných a neurčených infekčních a parazitárních nemocí","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B95","Streptokok a stafylokok jako příčina nemoci zařazené do jiný","Streptokok a stafylokok jako příčina nemoci zařazené do jiných kapitol – streptococcus a staphylococcus","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B96","Jiná určená bakteriální agens jako příč. nemoci zař. do jiný","Jiná určená bakteriální agens jako příč. nemoci zař. do jiných kapitol","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B97","Virová agens jako příč. nemoci zař. do jiných kapitol","Virová agens jako příč. nemoci zař. do jiných kapitol","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B98","Jiná určená infekční agens jako příč. nemocí zař. do jiných ","Jiná určená infekční agens jako příč. nemocí zař. do jiných kapitol","2011-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"B99","Jiné a neurčené infekční nemoci","Jiné a neurčené infekční nemoci","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C00","Zhoubný novotvar rtu","Zhoubný novotvar rtu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C01","Zhoubný novotvar kořene jazyka","Zhoubný novotvar kořene jazyka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C02","Zhoubný novotvar jiných a neurčených částí jazyka","Zhoubný novotvar jiných a neurčených částí jazyka","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C03","Zhoubný novotvar dásně – gingivy","Zhoubný novotvar dásně – gingivy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C04","Zhoubný novotvar ústní spodiny","Zhoubný novotvar ústní spodiny","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C05","Zhoubný novotvar patra","Zhoubný novotvar patra","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C06","Zhoubný novotvar jiných a neurčených části úst","Zhoubný novotvar jiných a neurčených části úst","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C07","Zhoubný novotvar příušní (parotické) žlázy","Zhoubný novotvar příušní (parotické) žlázy","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C08","Zhoubný novotvar jiných a neurčených slinných žláz","Zhoubný novotvar jiných a neurčených slinných žláz","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C09","Zhoubný novotvar mandle (tonzily)","Zhoubný novotvar mandle (tonzily)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C10","Zhoubný novotvar ústní části hltanu – orofaryngu","Zhoubný novotvar ústní části hltanu – orofaryngu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C11","Zhoubný novotvar nosohltanu (nazofaryngu)","Zhoubný novotvar nosohltanu (nazofaryngu)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C12","Zhoubný novotvar pyriformního sinu","Zhoubný novotvar pyriformního sinu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C13","Zhoubný novotvar hrtanové části hltanu (hypofaryngu)","Zhoubný novotvar hrtanové části hltanu (hypofaryngu)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C14","Zhoubný novotvar jiných a nepřesně určených lokalizací rtu,","Zhoubný novotvar jiných a nepřesně určených lokalizací rtu, dutiny ústní a hltanu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C15","Zhoubný novotvar jícnu","Zhoubný novotvar jícnu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C16","Zhoubný novotvar žaludku","Zhoubný novotvar žaludku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C17","Zhoubný novotvar tenkého střeva","Zhoubný novotvar tenkého střeva","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C18","Zhoubný novotvar tlustého střeva","Zhoubný novotvar tlustého střeva","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C19","Zhoubný novotvar rektosigmoideálního spojení","Zhoubný novotvar rektosigmoideálního spojení","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C20","Zhoubný novotvar konečníku","Zhoubný novotvar konečníku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C21","Zhoubný novotvar řiti a řitního kanálu","Zhoubný novotvar řiti a řitního kanálu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C22","Zhoubný novotvar jater a intrahepatálních žlučových cest","Zhoubný novotvar jater a intrahepatálních žlučových cest","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C23","Zhoubný novotvar žlučníku","Zhoubný novotvar žlučníku","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C24","Zhoubný novotvar jiných a neurčených částí žlučových cest","Zhoubný novotvar jiných a neurčených částí žlučových cest","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C25","Zhoubný novotvar slinivky břišní","Zhoubný novotvar slinivky břišní","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C26","Zhoubný novotvar jiných a nepřesně určených trávicích orgánů","Zhoubný novotvar jiných a nepřesně určených trávicích orgánů","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C30","Zhoubný novotvar nosní dutiny a středního ucha","Zhoubný novotvar nosní dutiny a středního ucha","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C31","Zhoubný novotvar vedlejších dutin","Zhoubný novotvar vedlejších dutin","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C32","Zhoubný novotvar hrtanu","Zhoubný novotvar hrtanu","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C33","Zhoubný novotvar průdušnice (trachey)","Zhoubný novotvar průdušnice (trachey)","1994-01-01","9999-09-09"
"CS","MKN-10_U2",5121,"C34","Zhoubný novotvar průdušky (bronchu) a plíce","Zhoubný novotvar průdušky (bronchu) a plíce","1994-01-01","9999-09-09"
